╔════════════════════════════════════════════════════════════════════╗
║         HOLONIC REALMS SDL2 GUI - SIMULATION VIEWER              ║
║   Real-time visualization of cosmological emergence                 ║
╚════════════════════════════════════════════════════════════════════╝

Initializing SDL2 subsystems...
Window created successfully
Initializing WGPU...
GPU adapter found: AdapterInfo { name: "NVIDIA GeForce RTX 2060 SUPER", vendor: 4318, device: 7942, device_type: DiscreteGpu, driver: "NVIDIA", driver_info: "590.48.01", backend: Vulkan }
WGPU initialized successfully
Surface format: Bgra8UnormSrgb
Surface size: 960x1080
Created 100 entities and 4 collective groups

════════════════════════════════════════════════════════════════════
STARTING SDL2 GUI
════════════════════════════════════════════════════════════════════

Controls:
  WASD/Arrows: Pan camera
  +/-: Zoom in/out
  1: Toggle Entity Visualization
  2: Toggle Spectrum Visualization
  3: Toggle Emergence Visualization
  4: Toggle Collective Visualization
  P: Toggle Performance Display
  F11: Toggle Fullscreen
  ESC: Exit
  Shift+C: Copy entity info to clipboard
  Shift+V: Paste from clipboard

Window focused
FPS: 3697.1 | Frame: 0.270ms | Event: 0.023ms | Render: 0.246ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3714.0 | Frame: 0.269ms | Event: 0.022ms | Render: 0.245ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3729.7 | Frame: 0.268ms | Event: 0.022ms | Render: 0.244ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3729.9 | Frame: 0.268ms | Event: 0.022ms | Render: 0.244ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3745.0 | Frame: 0.267ms | Event: 0.022ms | Render: 0.243ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3766.4 | Frame: 0.266ms | Event: 0.022ms | Render: 0.241ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3772.7 | Frame: 0.265ms | Event: 0.022ms | Render: 0.241ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3788.1 | Frame: 0.264ms | Event: 0.022ms | Render: 0.240ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3807.6 | Frame: 0.263ms | Event: 0.022ms | Render: 0.239ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3830.7 | Frame: 0.261ms | Event: 0.022ms | Render: 0.238ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3857.9 | Frame: 0.259ms | Event: 0.021ms | Render: 0.236ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3882.1 | Frame: 0.258ms | Event: 0.021ms | Render: 0.235ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3904.8 | Frame: 0.256ms | Event: 0.021ms | Render: 0.234ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3943.2 | Frame: 0.254ms | Event: 0.021ms | Render: 0.231ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3964.7 | Frame: 0.252ms | Event: 0.020ms | Render: 0.230ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3992.7 | Frame: 0.250ms | Event: 0.020ms | Render: 0.228ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4019.4 | Frame: 0.249ms | Event: 0.020ms | Render: 0.227ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4054.3 | Frame: 0.247ms | Event: 0.020ms | Render: 0.225ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4090.6 | Frame: 0.244ms | Event: 0.020ms | Render: 0.223ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4391.1 | Frame: 0.228ms | Event: 0.019ms | Render: 0.207ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4412.7 | Frame: 0.227ms | Event: 0.019ms | Render: 0.206ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4469.5 | Frame: 0.224ms | Event: 0.019ms | Render: 0.203ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4508.2 | Frame: 0.222ms | Event: 0.019ms | Render: 0.202ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4540.4 | Frame: 0.220ms | Event: 0.018ms | Render: 0.200ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4560.3 | Frame: 0.219ms | Event: 0.018ms | Render: 0.199ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4602.5 | Frame: 0.217ms | Event: 0.018ms | Render: 0.198ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4653.6 | Frame: 0.215ms | Event: 0.018ms | Render: 0.196ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4697.6 | Frame: 0.213ms | Event: 0.018ms | Render: 0.194ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4739.3 | Frame: 0.211ms | Event: 0.017ms | Render: 0.192ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4773.4 | Frame: 0.209ms | Event: 0.017ms | Render: 0.191ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4807.3 | Frame: 0.208ms | Event: 0.017ms | Render: 0.190ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4842.7 | Frame: 0.206ms | Event: 0.017ms | Render: 0.188ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4875.7 | Frame: 0.205ms | Event: 0.017ms | Render: 0.187ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4917.3 | Frame: 0.203ms | Event: 0.016ms | Render: 0.186ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4966.1 | Frame: 0.201ms | Event: 0.016ms | Render: 0.184ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5018.7 | Frame: 0.199ms | Event: 0.016ms | Render: 0.182ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5025.5 | Frame: 0.199ms | Event: 0.016ms | Render: 0.182ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5215.8 | Frame: 0.192ms | Event: 0.016ms | Render: 0.175ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5213.4 | Frame: 0.192ms | Event: 0.016ms | Render: 0.175ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5222.7 | Frame: 0.191ms | Event: 0.016ms | Render: 0.175ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5224.1 | Frame: 0.191ms | Event: 0.016ms | Render: 0.174ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5229.6 | Frame: 0.191ms | Event: 0.016ms | Render: 0.174ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5223.9 | Frame: 0.191ms | Event: 0.016ms | Render: 0.174ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 5224.3 | Frame: 0.191ms | Event: 0.016ms | Render: 0.174ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
